"Issue ID","Issue Type","Summary","Description","Steps to Reproduce","Expected Result","Priority","Labels","Component","Status","Test Type","Preconditions"
"VWO-TC-1","Test","Verify login with email/password — scenario 1","Test that a user can successfully authenticate using email/password on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'email/password' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Medium","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-2","Test","Verify login with Google SSO — scenario 2","Test that a user can successfully authenticate using Google SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Google SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","High","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-3","Test","Verify login with Okta SSO — scenario 3","Test that a user can successfully authenticate using Okta SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Okta SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Medium","login,authentication,smoke","Authentication","Done","Functional","Valid VWO account exists for the selected method"
"VWO-TC-4","Test","Verify login with Azure AD SSO — scenario 4","Test that a user can successfully authenticate using Azure AD SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Azure AD SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Low","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-5","Test","Verify login with SAML 2.0 — scenario 5","Test that a user can successfully authenticate using SAML 2.0 on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'SAML 2.0' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Medium","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-6","Test","Verify login with email/password — scenario 6","Test that a user can successfully authenticate using email/password on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'email/password' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","High","login,authentication,smoke","Authentication","In Progress","Functional","Valid VWO account exists for the selected method"
"VWO-TC-7","Test","Verify login with Google SSO — scenario 7","Test that a user can successfully authenticate using Google SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Google SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Critical","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-8","Test","Verify login with Okta SSO — scenario 8","Test that a user can successfully authenticate using Okta SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Okta SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Medium","login,authentication,smoke","Authentication","In Progress","Functional","Valid VWO account exists for the selected method"
"VWO-TC-9","Test","Verify login with Azure AD SSO — scenario 9","Test that a user can successfully authenticate using Azure AD SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Azure AD SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","High","login,authentication,smoke","Authentication","In Progress","Functional","Valid VWO account exists for the selected method"
"VWO-TC-10","Test","Verify login with SAML 2.0 — scenario 10","Test that a user can successfully authenticate using SAML 2.0 on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'SAML 2.0' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Medium","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-11","Test","Verify login with email/password — scenario 11","Test that a user can successfully authenticate using email/password on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'email/password' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Medium","login,authentication,smoke","Authentication","Done","Functional","Valid VWO account exists for the selected method"
"VWO-TC-12","Test","Verify login with Google SSO — scenario 12","Test that a user can successfully authenticate using Google SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Google SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","High","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-13","Test","Verify login with Okta SSO — scenario 13","Test that a user can successfully authenticate using Okta SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Okta SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Low","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-14","Test","Verify login with Azure AD SSO — scenario 14","Test that a user can successfully authenticate using Azure AD SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Azure AD SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Critical","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-15","Test","Verify login with SAML 2.0 — scenario 15","Test that a user can successfully authenticate using SAML 2.0 on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'SAML 2.0' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Medium","login,authentication,smoke","Authentication","Done","Functional","Valid VWO account exists for the selected method"
"VWO-TC-16","Test","Verify login with email/password — scenario 16","Test that a user can successfully authenticate using email/password on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'email/password' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Medium","login,authentication,smoke","Authentication","Done","Functional","Valid VWO account exists for the selected method"
"VWO-TC-17","Test","Verify login with Google SSO — scenario 17","Test that a user can successfully authenticate using Google SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Google SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Medium","login,authentication,smoke","Authentication","Blocked","Functional","Valid VWO account exists for the selected method"
"VWO-TC-18","Test","Verify login with Okta SSO — scenario 18","Test that a user can successfully authenticate using Okta SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Okta SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","High","login,authentication,smoke","Authentication","In Progress","Functional","Valid VWO account exists for the selected method"
"VWO-TC-19","Test","Verify login with Azure AD SSO — scenario 19","Test that a user can successfully authenticate using Azure AD SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Azure AD SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Medium","login,authentication,smoke","Authentication","Done","Functional","Valid VWO account exists for the selected method"
"VWO-TC-20","Test","Verify login with SAML 2.0 — scenario 20","Test that a user can successfully authenticate using SAML 2.0 on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'SAML 2.0' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Low","login,authentication,smoke","Authentication","In Progress","Functional","Valid VWO account exists for the selected method"
"VWO-TC-21","Test","Verify login with email/password — scenario 21","Test that a user can successfully authenticate using email/password on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'email/password' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Medium","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-22","Test","Verify login with Google SSO — scenario 22","Test that a user can successfully authenticate using Google SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Google SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","High","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-23","Test","Verify login with Okta SSO — scenario 23","Test that a user can successfully authenticate using Okta SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Okta SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Critical","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-24","Test","Verify login with Azure AD SSO — scenario 24","Test that a user can successfully authenticate using Azure AD SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Azure AD SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","High","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-25","Test","Verify login with SAML 2.0 — scenario 25","Test that a user can successfully authenticate using SAML 2.0 on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'SAML 2.0' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Medium","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-26","Test","Verify login with email/password — scenario 26","Test that a user can successfully authenticate using email/password on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'email/password' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","High","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-27","Test","Verify login with Google SSO — scenario 27","Test that a user can successfully authenticate using Google SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Google SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","High","login,authentication,smoke","Authentication","Done","Functional","Valid VWO account exists for the selected method"
"VWO-TC-28","Test","Verify login with Okta SSO — scenario 28","Test that a user can successfully authenticate using Okta SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Okta SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Medium","login,authentication,smoke","Authentication","Done","Functional","Valid VWO account exists for the selected method"
"VWO-TC-29","Test","Verify login with Azure AD SSO — scenario 29","Test that a user can successfully authenticate using Azure AD SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Azure AD SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","High","login,authentication,smoke","Authentication","Done","Functional","Valid VWO account exists for the selected method"
"VWO-TC-30","Test","Verify login with SAML 2.0 — scenario 30","Test that a user can successfully authenticate using SAML 2.0 on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'SAML 2.0' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","High","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-31","Test","Verify login with email/password — scenario 31","Test that a user can successfully authenticate using email/password on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'email/password' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Low","login,authentication,smoke","Authentication","Done","Functional","Valid VWO account exists for the selected method"
"VWO-TC-32","Test","Verify login with Google SSO — scenario 32","Test that a user can successfully authenticate using Google SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Google SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Medium","login,authentication,smoke","Authentication","Done","Functional","Valid VWO account exists for the selected method"
"VWO-TC-33","Test","Verify login with Okta SSO — scenario 33","Test that a user can successfully authenticate using Okta SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Okta SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Medium","login,authentication,smoke","Authentication","Done","Functional","Valid VWO account exists for the selected method"
"VWO-TC-34","Test","Verify login with Azure AD SSO — scenario 34","Test that a user can successfully authenticate using Azure AD SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Azure AD SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","High","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-35","Test","Verify login with SAML 2.0 — scenario 35","Test that a user can successfully authenticate using SAML 2.0 on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'SAML 2.0' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","High","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-36","Test","Verify login with email/password — scenario 36","Test that a user can successfully authenticate using email/password on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'email/password' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","High","login,authentication,smoke","Authentication","Done","Functional","Valid VWO account exists for the selected method"
"VWO-TC-37","Test","Verify login with Google SSO — scenario 37","Test that a user can successfully authenticate using Google SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Google SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Low","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-38","Test","Verify login with Okta SSO — scenario 38","Test that a user can successfully authenticate using Okta SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Okta SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Medium","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-39","Test","Verify login with Azure AD SSO — scenario 39","Test that a user can successfully authenticate using Azure AD SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Azure AD SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Low","login,authentication,smoke","Authentication","In Progress","Functional","Valid VWO account exists for the selected method"
"VWO-TC-40","Test","Verify login with SAML 2.0 — scenario 40","Test that a user can successfully authenticate using SAML 2.0 on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'SAML 2.0' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","High","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-41","Test","Verify login with email/password — scenario 41","Test that a user can successfully authenticate using email/password on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'email/password' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Medium","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-42","Test","Verify login with Google SSO — scenario 42","Test that a user can successfully authenticate using Google SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Google SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Medium","login,authentication,smoke","Authentication","Done","Functional","Valid VWO account exists for the selected method"
"VWO-TC-43","Test","Verify login with Okta SSO — scenario 43","Test that a user can successfully authenticate using Okta SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Okta SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","High","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
"VWO-TC-44","Test","Verify login with Azure AD SSO — scenario 44","Test that a user can successfully authenticate using Azure AD SSO on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'Azure AD SSO' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Low","login,authentication,smoke","Authentication","In Progress","Functional","Valid VWO account exists for the selected method"
"VWO-TC-45","Test","Verify login with SAML 2.0 — scenario 45","Test that a user can successfully authenticate using SAML 2.0 on the VWO login page at app.vwo.com.","1. Navigate to https://app.vwo.com
2. Choose 'SAML 2.0' as the login method
3. Enter valid credentials
4. Click 'Sign In'
5. Observe the result","User is redirected to the VWO dashboard with a personalised greeting. Session token is created.","Critical","login,authentication,smoke","Authentication","To Do","Functional","Valid VWO account exists for the selected method"
